date,country,series,value
1995-02-28,IT,ESI,115.9
1995-02-28,LV,INDU,-19.4
1995-02-28,LV,BUIL,-36.7
1995-02-28,LV,ESI,74.8
1995-02-28,LT,INDU,-7.5
1995-02-28,LT,BUIL,-49.5
1995-02-28,LT,ESI,97.9
1995-02-28,LU,INDU,14.8
1995-02-28,LU,BUIL,-50.8
1995-02-28,LU,ESI,119.3
1995-02-28,HU,CONS,-47.7
1995-02-28,NL,INDU,1.5
1995-02-28,NL,CONS,0.2
1995-02-28,NL,RETA,7
1995-02-28,NL,BUIL,-12.5
1995-02-28,NL,ESI,106.8
1995-02-28,NL,EEI,96.4
1995-02-28,AT,INDU,4.5
1995-02-28,AT,ESI,107.8
1995-02-28,PL,RETA,1.2
1995-02-28,PL,ESI,149.9
1995-02-28,PT,INDU,0.7
1995-02-28,PT,CONS,-14.4
1995-02-28,PT,RETA,3.9
1995-02-28,PT,BUIL,-36.5
1995-02-28,PT,ESI,107.3
1995-02-28,RO,INDU,6.5
1995-02-28,RO,RETA,21.6
1995-02-28,RO,BUIL,11.1
1995-02-28,RO,ESI,104.8
1995-02-28,SK,INDU,12.3
1995-02-28,SK,RETA,-1.9
1995-02-28,SK,BUIL,-27.2
1995-02-28,SK,ESI,103.7
1995-02-28,FI,INDU,22.7
1995-02-28,FI,BUIL,-30.6
1995-02-28,FI,ESI,111.9
1995-02-28,SE,BUIL,-24.7
1995-02-28,SE,ESI,107.8
1995-02-28,UK,INDU,9.1
1995-02-28,UK,CONS,-13.6
1995-02-28,UK,RETA,-6.6
1995-02-28,UK,BUIL,-24.8
1995-02-28,UK,ESI,104.6
1995-03-31,EU,INDU,2.7
1995-03-31,EU,CONS,-8.9
1995-03-31,EU,RETA,-19.1
1995-03-31,EU,BUIL,-25.9
1995-03-31,EU,ESI,103.1
1995-03-31,EA,INDU,2.1
1995-03-31,EA,CONS,-8.8
1995-03-31,EA,RETA,-20.5
1995-03-31,EA,BUIL,-27.4
1995-03-31,EA,ESI,102.7
1995-03-31,BE,INDU,-3.5
1995-03-31,BE,SERV,20.7
1995-03-31,BE,CONS,-6.9
1995-03-31,BE,RETA,-10.4
1995-03-31,BE,BUIL,-21.8
1995-03-31,BE,ESI,104.6
1995-03-31,BE,EEI,102.9
1995-03-31,BG,INDU,0.6
1995-03-31,BG,RETA,27.7
1995-03-31,BG,BUIL,-29
1995-03-31,BG,ESI,108.4
1995-03-31,CZ,INDU,13
1995-03-31,CZ,CONS,-9.8
1995-03-31,CZ,RETA,5.8
1995-03-31,CZ,BUIL,-6.1
1995-03-31,CZ,ESI,101.7
1995-03-31,DK,INDU,1.8
1995-03-31,DK,CONS,6.3
1995-03-31,DK,BUIL,7.1
1995-03-31,DK,ESI,110.4
1995-03-31,DE,INDU,-2.4
1995-03-31,DE,CONS,-8.4
1995-03-31,DE,RETA,-27
1995-03-31,DE,BUIL,-32.4
1995-03-31,DE,ESI,99.4
1995-03-31,EE,INDU,10.4
1995-03-31,EE,CONS,-22
1995-03-31,EE,RETA,10.2
1995-03-31,EE,BUIL,-7.4
1995-03-31,EE,ESI,96.6
1995-03-31,IE,INDU,16
1995-03-31,IE,CONS,3.4
1995-03-31,IE,BUIL,-30.3
1995-03-31,IE,ESI,103.3
1995-03-31,EL,INDU,1.9
1995-03-31,EL,CONS,-31.6
1995-03-31,EL,RETA,-11.1
1995-03-31,EL,BUIL,-32.1
1995-03-31,EL,ESI,104
1995-03-31,ES,INDU,-0.6
1995-03-31,ES,CONS,-16.3
1995-03-31,ES,RETA,-17.3
1995-03-31,ES,BUIL,-7.8
1995-03-31,ES,ESI,101.8
1995-03-31,FR,INDU,-1.1
1995-03-31,FR,SERV,4.2
1995-03-31,FR,CONS,-5
1995-03-31,FR,RETA,3
1995-03-31,FR,BUIL,-33.1
1995-03-31,FR,ESI,107.3
1995-03-31,FR,EEI,102.5
1995-03-31,IT,INDU,10.9
1995-03-31,IT,CONS,-11.5
1995-03-31,IT,RETA,-48.1
1995-03-31,IT,BUIL,-26.2
1995-03-31,IT,ESI,108.9
1995-03-31,LV,INDU,-19.3
1995-03-31,LV,BUIL,-36.2
1995-03-31,LV,ESI,74.9
1995-03-31,LT,INDU,-7.1
1995-03-31,LT,BUIL,-49.5
1995-03-31,LT,ESI,97
1995-03-31,LU,INDU,14.4
1995-03-31,LU,BUIL,-51.6
1995-03-31,LU,ESI,119.9
1995-03-31,HU,CONS,-58.8
1995-03-31,NL,INDU,2
1995-03-31,NL,CONS,1.5
1995-03-31,NL,RETA,4.7
1995-03-31,NL,BUIL,-12.6
1995-03-31,NL,ESI,106.7
1995-03-31,NL,EEI,97.4
1995-03-31,AT,INDU,2.8
1995-03-31,AT,ESI,105.7
1995-03-31,PL,RETA,1.6
1995-03-31,PL,ESI,146.9
1995-03-31,PT,INDU,-2.6
1995-03-31,PT,CONS,-17.1
1995-03-31,PT,RETA,4.8
1995-03-31,PT,BUIL,-34.4
1995-03-31,PT,ESI,102.5
1995-03-31,RO,INDU,6.8
1995-03-31,RO,RETA,22.3
1995-03-31,RO,BUIL,11.8
1995-03-31,RO,ESI,105.5
1995-03-31,SK,INDU,2.6
1995-03-31,SK,RETA,-0.2
1995-03-31,SK,BUIL,-27.9
1995-03-31,SK,ESI,93.4
1995-03-31,FI,INDU,20.6
1995-03-31,FI,BUIL,-33.7
1995-03-31,FI,ESI,108.8
1995-03-31,SE,BUIL,-28.2
1995-03-31,SE,ESI,106.6
1995-03-31,UK,INDU,9
1995-03-31,UK,CONS,-14.4
1995-03-31,UK,RETA,-8.1
1995-03-31,UK,BUIL,-20.8
1995-03-31,UK,ESI,104.3
1995-04-30,EU,INDU,1.5
1995-04-30,EU,SERV,18.8
1995-04-30,EU,CONS,-8.4
1995-04-30,EU,RETA,-18.1
1995-04-30,EU,BUIL,-26.1
1995-04-30,EU,ESI,105.5
1995-04-30,EA,INDU,1.1
1995-04-30,EA,SERV,19.2
1995-04-30,EA,CONS,-8.3
1995-04-30,EA,RETA,-19.6
1995-04-30,EA,BUIL,-28
1995-04-30,EA,ESI,105.6
1995-04-30,BE,INDU,-5.8
1995-04-30,BE,SERV,17.3
1995-04-30,BE,CONS,-7.4
1995-04-30,BE,RETA,-11.7
1995-04-30,BE,BUIL,-21.4
1995-04-30,BE,ESI,101.3
1995-04-30,BE,EEI,100.2
1995-04-30,BG,INDU,-3.5
1995-04-30,BG,RETA,24.6
1995-04-30,BG,BUIL,-30.8
1995-04-30,BG,ESI,96.3
1995-04-30,CZ,INDU,4.9
1995-04-30,CZ,CONS,-13.1
1995-04-30,CZ,RETA,3.9
1995-04-30,CZ,BUIL,-4.4
1995-04-30,CZ,ESI,94.4
1995-04-30,DK,INDU,-3.6
1995-04-30,DK,CONS,5.3
1995-04-30,DK,BUIL,-0.8
1995-04-30,DK,ESI,104.5
1995-04-30,DE,INDU,-6
1995-04-30,DE,SERV,31.4
1995-04-30,DE,CONS,-8.1
1995-04-30,DE,RETA,-26.8
1995-04-30,DE,BUIL,-37.9
1995-04-30,DE,ESI,103.5
1995-04-30,EE,INDU,8.5
1995-04-30,EE,CONS,-8.5
1995-04-30,EE,RETA,7.6
1995-04-30,EE,BUIL,-2.1
1995-04-30,EE,ESI,100.3
1995-04-30,IE,INDU,25.3
1995-04-30,IE,CONS,0
1995-04-30,IE,BUIL,2.2
1995-04-30,IE,ESI,110.2
1995-04-30,EL,INDU,-1.4
1995-04-30,EL,CONS,-31.2
1995-04-30,EL,RETA,-21.3
1995-04-30,EL,BUIL,-43.9
1995-04-30,EL,ESI,101.3
1995-04-30,ES,INDU,2.1
1995-04-30,ES,CONS,-15
1995-04-30,ES,RETA,-15.3
1995-04-30,ES,BUIL,1.2
1995-04-30,ES,ESI,105.7
1995-04-30,FR,INDU,0.5
1995-04-30,FR,SERV,1.9
1995-04-30,FR,CONS,-4.1
1995-04-30,FR,RETA,-1.3
1995-04-30,FR,BUIL,-32.1
1995-04-30,FR,ESI,107.5
1995-04-30,FR,EEI,102.5
1995-04-30,IT,INDU,10.6
1995-04-30,IT,CONS,-8.3
1995-04-30,IT,RETA,-42.2
1995-04-30,IT,BUIL,-24.7
1995-04-30,IT,ESI,111
1995-04-30,LV,INDU,-18.2
1995-04-30,LV,BUIL,-38.2
1995-04-30,LV,ESI,74.1
1995-04-30,LT,INDU,-5.8
1995-04-30,LT,RETA,-7.8
1995-04-30,LT,BUIL,-49
1995-04-30,LT,ESI,96.6
1995-04-30,LU,INDU,26.4
1995-04-30,LU,BUIL,-51.3
1995-04-30,LU,ESI,126.7
1995-04-30,HU,CONS,-58
1995-04-30,NL,INDU,1
1995-04-30,NL,CONS,-1.5
1995-04-30,NL,RETA,10.4
1995-04-30,NL,BUIL,-11.1
1995-04-30,NL,ESI,104.6
1995-04-30,NL,EEI,101.9
1995-04-30,AT,INDU,-2
1995-04-30,AT,ESI,99.9
1995-04-30,PL,RETA,2.1
1995-04-30,PL,ESI,145.7
1995-04-30,PT,INDU,-4.4
1995-04-30,PT,CONS,-18
1995-04-30,PT,RETA,4.5
1995-04-30,PT,BUIL,-30
1995-04-30,PT,ESI,100.8
1995-04-30,RO,INDU,14.8
1995-04-30,RO,RETA,27.5
1995-04-30,RO,BUIL,19.7
1995-04-30,RO,ESI,119.5
1995-04-30,SI,INDU,-5.1
1995-04-30,SI,ESI,88.2
1995-04-30,SK,INDU,23.1
1995-04-30,SK,RETA,1.9
1995-04-30,SK,BUIL,-39.6
1995-04-30,SK,ESI,116
1995-04-30,FI,INDU,22.2
1995-04-30,FI,BUIL,-31.8
1995-04-30,FI,ESI,113.5
1995-04-30,SE,BUIL,-38.5
1995-04-30,SE,ESI,103.4
1995-04-30,UK,INDU,6.3
1995-04-30,UK,CONS,-14.2
1995-04-30,UK,RETA,-2.5
1995-04-30,UK,BUIL,-28.8
1995-04-30,UK,ESI,102.9
1995-05-31,EU,INDU,0.4
1995-05-31,EU,SERV,18.6
1995-05-31,EU,CONS,-7.7
1995-05-31,EU,RETA,-20.1
1995-05-31,EU,BUIL,-27.5
1995-05-31,EU,ESI,104.5
1995-05-31,EA,INDU,-0.1
1995-05-31,EA,SERV,18.8
1995-05-31,EA,CONS,-7.5
1995-05-31,EA,RETA,-21.7
1995-05-31,EA,BUIL,-28.9
1995-05-31,EA,ESI,104.6
1995-05-31,BE,INDU,-11.8
1995-05-31,BE,SERV,22.3
1995-05-31,BE,CONS,-8.3
1995-05-31,BE,RETA,-11.7
1995-05-31,BE,BUIL,-27.2
1995-05-31,BE,ESI,98.7
1995-05-31,BE,EEI,98.9
1995-05-31,BG,INDU,-7.8
1995-05-31,BG,RETA,24.8
1995-05-31,BG,BUIL,-28.5
1995-05-31,BG,ESI,90.7
1995-05-31,CZ,INDU,14
1995-05-31,CZ,CONS,-12.8
1995-05-31,CZ,RETA,5.4
1995-05-31,CZ,BUIL,-5.1
1995-05-31,CZ,ESI,98.6
1995-05-31,DK,INDU,-3.7
1995-05-31,DK,CONS,6.2
1995-05-31,DK,BUIL,-0.4
1995-05-31,DK,ESI,105.1
1995-05-31,DE,INDU,-5.5
1995-05-31,DE,SERV,31.6
1995-05-31,DE,CONS,-8.4
1995-05-31,DE,RETA,-24.3
1995-05-31,DE,BUIL,-38.6
1995-05-31,DE,ESI,103.7
1995-05-31,EE,INDU,8.9
1995-05-31,EE,CONS,-8.7
1995-05-31,EE,RETA,8.5
1995-05-31,EE,BUIL,-2.5
1995-05-31,EE,ESI,100.4
1995-05-31,IE,INDU,22.7
1995-05-31,IE,CONS,1
1995-05-31,IE,BUIL,-0.4
1995-05-31,IE,ESI,108.5
1995-05-31,EL,INDU,-1
1995-05-31,EL,CONS,-28.8
1995-05-31,EL,RETA,-23.7
1995-05-31,EL,BUIL,-44
1995-05-31,EL,ESI,102.3
1995-05-31,ES,INDU,-5.4
1995-05-31,ES,CONS,-14
1995-05-31,ES,RETA,-14.2
1995-05-31,ES,BUIL,1.1
1995-05-31,ES,ESI,98.9
1995-05-31,FR,INDU,0.9
1995-05-31,FR,SERV,2.3
