Jahr,Wert,Variable,Notiz,wds
2021,1.42126308,Ausgaben des Unternehmenssektors für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Unternehmen, in % des BIP",ih:wds:gen_u37_fueinbip
2022,1.42541941,Ausgaben des Unternehmenssektors für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Unternehmen, in % des BIP",ih:wds:gen_u37_fueinbip
2023,1.392701246,Ausgaben des Unternehmenssektors für F&E in % des BIP,"*  Ausgaben für Forschung und experimentelle Entwicklung - Unternehmen, in % des BIP",ih:wds:gen_u37_fueinbip
2012,277.477533,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),"(""C HERSTELLUNG VON WAREN - Produktionswert der abgesetzten Produktion, Österreich""/""C HERSTELLUNG VON WAREN - Unselbständig Beschäftigte Insgesamt, Österreich"")/1000",
2013,277.88187,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),,
2014,297.039983,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),,
2015,297.298104,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),,
2016,296.956257,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),,
2017,309.626398,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),,
2018,318.510032,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),,
2019,317.557474,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),,
2020,292.470367,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),,
2021,344.438966,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),,
2022,391.492778,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),,
2023,,Produktion je Beschäftigtem/Beschäftigter (rechte Achse),,
