SeriesDate;omw;omeu;omeeu;brausgfe;ausgfe;prodbesch
2008-01-01;1.11798760219187;2.14345575562056;0.480387893739324;2.57;1.18483455882353;278.981712277232
2009-01-01;1.10457682185252;2.15616660397914;0.478911496200255;2.6;1.22205943618942;243.72126417911
2010-01-01;1.00197012148777;2.08617170103658;0.425548744432646;2.73;1.22992565055762;272.73376394255
2011-01-01;0.975526135401734;2.05393618978322;0.422978464062201;2.67;1.23203172862993;297.161919947995
2012-01-01;0.908619491977232;1.98773198517786;0.400444874459805;2.91;1.33165855954809;277.4775329824
2013-01-01;0.93470963298805;2.06634923888096;0.409724617327261;2.95;1.44044642030194;277.88186959961
2014-01-01;0.946530981786471;2.04690833309416;0.421358076484812;3.08;1.47119315623593;297.039983306115
2015-01-01;0.930338485283849;2.02619487193901;0.41080150842182;3.05;1.51689662183751;297.298104439713
2016-01-01;0.957835812830345;2.04032247190079;0.42086969836784;3.12;1.50373870976762;296.956256715978
2017-01-01;0.957751057139993;2.06924565462542;0.412090390827111;3.06;1.49794780160277;309.626398131562
2018-01-01;0.956294586100533;2.05329647743862;0.410107215362332;3.09;1.45628260700288;318.510031988041
2019-01-01;0.952851337178538;2.02506762648969;0.418315265710855;3.13;1.50624165974268;317.557474273843
2020-01-01;0.975647285333015;2.09784537878057;0.417165959938;3.2;1.32024196934705;292.470366518681
2021-01-01;0.919340642783618;2.00599036683643;0.387102392598025;3.17;1.4212630801428;344.438966470971
2022-01-01;0.859135244061805;1.87006686251853;0.357266091081569;3.2;1.42541941248743;391.752304381851
